Airline Name,Rating,Text,Recommended
Aegean Airlines,1/10,"  I had two calls with them on the 23rd and the 24th of July with regards to changing my flight. According to them, I could have one change without penalty with no extra charge due to Covid-19. However, because I needed to change airports, I had to pay the penalty. Whilst on my first call, the girl I talked to told me that I needed to pay 100euros for the change whereas the next day I was told to pay 140euros for the same change (Note: The flight rate didn't change at all). Despite the difference, I changed my flight ticket asking for a baggage too. They booked my ticket without adding a baggage! I called yesterday to ask what happened and they were telling me that there was no charge for the baggage. Then, they told me they would listen to my recording and call me back. They called me two hours later; the phone was ringing for 5 secs and I did not manage to pick it up. I called back and I was told that the girl who was assisting me finished her work for the day. The next person told me that would look into it but instead of putting me on hold, they hung up on me and never called back! I called again today, the assistant could not find the notes of the first person who listened to the recording and of course did not add my baggage for free. I did however requested both calls (the one asking for 100euros and the second one when they asked for more money and did not add my baggage); I am waiting for the response. On the 2nd of August, I flew from Athens to Heraklion. There was about a 2-hour delay and the airline offered us a free ticket. However, they state that I cannot use the free ticket during Christmas, Easter, July and August but as I live in the UK and I am not allowed to use it the only periods that I can travel to Greece. Due to Covid-19 they do not allow a backpack and a cabin bag on board. They do not allow to check-in the cabin bag. The price tickets are not cheaper either. ",no
Aegean Airlines,5/10,"  Up until recently Aegean was one of the best carriers in Europe. This is not the case anymore as they are adopting more and more policies of a typical low cost airline. For the lowest fare category (go light), one item is now allowed in the cabin and seat selection is not free. Any extra item cannot be checked for free but customers need to pay a fee at the airport. I just hope this is a temporary measure due to Covid19.",yes
Aegean Airlines,1/10,"  Flying from Rhodes to Larnaca with my family during the Covid-19 pandemic with Aegean Airlines was not a nice experience. The passengers behind us kept taking their masks off and talking, and despite our numerous attempt to ask the staff to ask the passengers to keep their masks on they took it off. Even a steward talked to them for 15 minutes while it was off and still they did not care. We ended up having to keep it on for everyones safety and they just said relax.",no
Aegean Airlines,1/10,"  Heraklion to Thessaloniki. They said that because of covid-19 we could only bring one item on board. People had to measure their luggage size and to pay 40 euros extra, while there was plenty of space on board. At the same time there were really no airport covid19 tests taking place.  Also my seat was small for 75 mins flight. ",no
Aegean Airlines,9/10,"  Barcelona to Athens. I'll have to start with the fact that they let you have a checked in bag which weighs up to a certain amount of kilos for free, which as far as I'm concerned is not the case for many airlines. Flight was initially delayed by half an hour or so which for me wasn't a lot as I didn't have any connecting flights to worry about, but I understand that for some people this might not be the case. Boarding was done via jetbridge and was rather fast considering the flight was full. We boarded the plane, but didn't take off for nearly another two hours due to a thunderstorm over the airport. The seats were very comfortable for Economy class, but again I'm only 1.62 so my opinion on this probably isn't relevant. The pilots made an announcement straight away and the flight attendants handed out free drinks to everyone during the time we spent on the ground. The pilots kept informing us of the situation and when we finally took off the flight was extremely turbulent, but they handled the situation pretty well I must say. A free hot meal was provided for all passengers, both Bussiness and Economy class which is very rare these days for an intra-european flight. When we arrived in Athens the pilots made an apology for the delay and announced that every passenger who had missed their connecting flight would be offered either a free rebooking or a voucher but I can't remember exactly, as I didn't need one. Luggage came out quickly and it wasn't damaged in any way. The price was ok but considering their excellent service I can't even think about complaining about the price. The only thing that I didn't quite like was the fact that there was no in flight entertaining as there were no screens which having flown on their A320s as well I know are present there, but not in the A321, but again, I'm not complaining. Fantastic experience and I would totally recommend this airline.",yes
Aegean Airlines,10/10,  Aegean is my favorite Greek Airline. In July 2019 I travelled from Munich to Athens. Aegean aircraft was perfect also seat was perfect. Landed on time at Athens Airport with smooth landing.,yes
Aegean Airlines,9/10,"  Corfu to Athens in September 2019. Used Aegean several times. Definitely one of the best European airlines. Seat comfort, service, cleanliness, even food is superior to most airlines. Had an issue once when a ferry was cancelled and we couldn’t catch our flight. Aegean immediately exchanged our tickets at no extra cost.",yes
Aegean Airlines,10/10,"  It was the best air trip. Aegean Airlines occured a flight from Brussels to Athens without any cancellation in addition to other airlines. (During the period of covid 19). The crew was gentle and ready to make us feel comfortable. The second trip that i did from Athens to Rhodes surprised me a lot, as it occurred with three only passengers. Me and two other passengers, it makes me extremely impression. I really appreciate Aegean customer service and policy and i hope to make another air trip with this airline soon.",yes
Aegean Airlines,1/10,  Aegean canceled our flight on 30th March because it stopped all flights to Athens from 26th March onwards. They refused to refund us because our tickets were not refundable. We filed a complaint asking for a refund since it was the Airline that canceled the flight and not us. They offered a credit voucher that can be used within the next 18 months. ,no
Aegean Airlines,1/10,"  Heraklion to Athens. I finally found a flight to get home to the UK during the Corona virus crisis, flying Aegean to Athens and then Swiss Air to the UK via Zurich. It was a difficult time and travelling was quite stressful given the situation. We travelled with hand luggage to avoid baggage claim. When my wife and I came to board in Heraklion the ground staff,  weighed our bags and asked for a credit card and charged us 80 euros for excess baggage. We would have expected more compassion. Swiss offered to put the bags in the hold for not cost and could not have been more sympathetic and accommodating during the crisis. ",no
Aegean Airlines,9/10,"  Last minute trip to Athens with Aegean Airlines. Received text advising flight cancelation, was re-booked on evening flight without any additional charge. Helpful and sympathetic staff. Inflight service as polite and professional as always. Thanks Aegean for a great job in difficult circumstance. Other airlines, take note.",yes
Aegean Airlines,1/10," London to Athens. Aegean is anything but an airline! They simply should not exist! Business Class ticket and from London to Athens, the back of my seat was destroyed. While in Athens, they cancel the flight and then they ask me to pay more to rebook my flight! When I ask the agent to transfer the call to a supervisor, his response was “it is the airline’s policy not to allow the passenger to speak with supervisors”! Simply unacceptable! There is absolutely no reason for companies like this one to exist!",no
Aegean Airlines,1/10," I booked a flight from Athens to Thessaloniki return. They cancelled the flights and never gave back the refund of the amount and they suggested either rebooking (with the fare difference paid by me) or a credit voucher with limitations, valid for 12 months. I said to them I want a full refund of my ticket and I disagree with these 2 options as I am not obliged to fly with them next time. They said that their regulations changed because of COVID-19 and they don't refund. I feel like someone stole my money. I still wait for a refund because they violated the rules of the ticket issued. For sure, the airline's policy shows how they threat passengers both aboard and on the ground in any situation.",no
Aegean Airlines,1/10,"  I bought and paid flex ticket Zurich to Corfu for late April, they cancelled the flight, no reimbursement, you have to phone to Athens but you never get through! No possibility by email, chat or online. They write that there are long waiting times for telephone connection but they don't solve this problem. ",no
Aegean Airlines,2/10,"  Heraklion to Athens. Ground staff were rude to me. My bag was just over 9 kilos and I had to pay 40 Euros on the spot for a 30 minute internal flight. I paid and I asked if I can now at least take my bag on board.(My bag was within the required dimensions. I was told no, I can't take it onboard because it is more than 8 kilos.  Aegean has managed to build a great reputation over the last decades. Is it really worth damaging it for the sake of couple extra Euros which people pay when they are left with no choice? I will be avoiding Aegean wherever possible moving forward. ",no
Aegean Airlines,9/10,  Athens to Frankfurt. The cabin crew are very welcoming and professional. This company offers a quality service clearly above the European average. It’s always a pleasure to fly with it.,yes
Aegean Airlines,1/10,"  Athens to Zurich. A320 neo, space between the seats in economy class is a no-go. Never encountered such an uncomfortable flight. A320s don’t get much denser than that and that is what my knees felt. They also put in place reclining seats, so this nightmare even gets worse if the person in front reclines. ",no
Aegean Airlines,10/10,  Thessaloniki to Berlin via Athens. This was one of my best flights with Aegean. Second time to enjoy the service from a great purser. Always smiling and very professional. Perfect!,yes
Aegean Airlines,8/10,"  Thessaloniki to Zurich via Athens with Aegean Airlines. Delayed departure due to technical problems and changing aircraft after boarding in Athens, from Zurich there was a delay due to delay of previous arrival due to strong winds. The inflight entertainment was boring. Crew were ok. All the meals were in a lot of plastic.",yes
Aegean Airlines,4/10,  Thessaloniki to Munich with Aegean Airlines. Full flight and not enough space for the bag under the seat in front. Since the boarding ground staff are measuring the hand luggage that needs to be a max of 8kg. If the weight is more than 8kg people had to pay 50€ at the gate. Some crew on board seem like they had more fun talking between each other and forgetting to give us a second drink. I was expecting much nicer service regarding the beverages.,no
Aegean Airlines,8/10,"  Amsterdam to Athens. Enjoyable flight. Seamless check in at Schiphol Airport. Cabin immaculate, and crew well groomed. So nice to see air hostesses helping staff with storage in overhead lockers. Few European airlines still offer hot meals on flights throughout Europe. Moreover drinks and tea /coffee also all provided with no charge. No complaints. On arrival at Athens airport luggage came out swiftly. Well done Aegean!",yes
Aegean Airlines,4/10," Frankfurt to Athens. Ground staff in Athens always rude and this is the reason I’m writing this review! It’s a shame as they apparently did not realize that it’s all about customer experience when you are working in the services sector! The airline itself it’s quite decent - even though a lot of the times there are flight delays, unfortunately, and the staff on board are usually very nice and welcoming, which makes their ground colleagues appear even ruder! And it makes you wonder: doesn’t the company have certain policies or training about customer service for all their employees?",yes
Aegean Airlines,5/10," I flew with Aegean Airlines from Prague to Athens. The ground service wasn't the best . My flight was during the Christmas period and the flight was almost full. There were long queues in front of the desk of the airline company and the assistants seemed unable to handle the big number of passengers. The experience on-board was overall good. Comparing to other airlines the meal and the beverages were better and the flight attendants were kind and with a helpful attitude. The seats weren't the most convenient ones though. I paid for an extra 23 kg luggage for my flight. I was supposed to get it, after my arrival in Athens, but for some reason my suitcase was left in Prague. I reported the incident to the company, which is responsible for the tracking and management of lost baggages and luckily they found and delivered it to me the next evening. In my suitcase there were clothing and stuff that I needed. So, I decided to contact the costumer service and request for a reimbursement. The answer I received was that I wasn't eligible for compensation, because my luggage was delivered within 24 hours.",no
Aegean Airlines,9/10,"  Could not disagree more with two recent reviews. My trip Athens to London with Aegean was a very professional and comfortable experience. From easy and polite check-in at Athens International to the goodbye at the cabin door upon arrival by excellent cabin crew, the service is seamless. Seating is decent for a 3 and a half hour flight and they offer a full service of drinks and hot meals. Great vegetarian pasta. Aegean is far superior to other European carriers and I would choose Aegean any day. Thoroughly recommended.",yes
Aegean Airlines,4/10,"  Frankfurt to Athens. It might be my impression but it feels like the legroom has been reduced, seats are awful and  uncomfortable. The customer service is  average along with the cleanliness of the aircraft. As long as the flight is fully booked the land crew requests from clients to board with just the hand luggage and deliver the carry-on luggage to the hold (free of charge as they claim). This review was written with the value-for-money in mind as the primary factor. Hence there is no reason at all booking the tickets with Aegean if you are about to pay more and receive the same legroom and seat-comfort to any other low-cost flying company Since Aegean allows its passengers to fly in Economy/Go-Light with the standard carry-on luggage and handbag allowance (as stated on their ticket), they should adhere to that. The reason passengers do that is because it allows them to quickly grab their bags and catch the next flight without having to wait on the belt to retrieve luggage. I agree with the company's policy to weigh/measure the carry-on luggage prior to boarding in order to filter any passengers carrying excessive carry-ons. However as long as the passenger is compliant  they shouldn't force him/her deliver their carry-on to the hold. I am a Silver member over the past 3 years and during this flight I requested for my ticket to be upgraded. However the representative assured me that I wasn't able since the flight was in cooperation with Lufthansa. When I asked to upgrade only the ticket from Frankfurt to Athens (operated by Aegean) they declined providing me the same reason. Yet they didn't forget to email me a ""Bid to Upgrade your Seat"" email.",no
Aegean Airlines,5/10,"  Berlin to Thessaloniki via Athens. Not the best flight with Aegean. Cabin was old and the crew on both flights not very helpful and charming. As a gold member, I was cramped on both flights in full rows.",yes
Aegean Airlines,10/10,  Athens to Kiev. Among the top European airlines. Price is always reasonable and service is always perfect. I never had any problem and I always choose when available. ,yes
Aegean Airlines,10/10,"  Lisbon to Athens. One more time with Aegean! Excellent as always, on time, crew friendly and approachable, hot meal and drinks for free, clean aircraft. Don't know if you need more from an airline if you fly in Europe",yes
Aegean Airlines,1/10, We missed our connecting flight to Larnaca twice due to delays first of Lufthansa and then of Aegean. We ended up with a route of 4 flights from Hamburg to LCA with total trip duration of 24 hours. The ground staff of Aegean at the gate requested me to leave my carry-on baggage at the gate to be picked up at luggage claim at LCA as the plane was full. I kindly explained that I’m traveling with a companion who had his carryon with him and we had to get a taxi together immediately after arrival. The ground staff showed no consideration and insisted that it is the airlines regulation. She spoke rudely with a loud voice.,no
Aegean Airlines,4/10,"  London to Athens. Check in, and lounge all went well. The staff on board not as professional as my last flight. My food in business class was an absolute disgrace, I have never been served this on any airline (beef stew and eggplant mash).  Limited drinks and no black tea. I paid for business class but It was a waste of money.",no
Aegean Airlines,4/10,"  Larnaca to Athens. I can understand that if plane arrives late at night, it can park away from the terminal, but in this case parking away and using the bus seems to be a common feature. On this flight arriving at 09.50 in the morning at a half empty airport at Athens and again the bus. Otherwise as an airline apart from higher costs, Aegean could be given top marks though passenger legroom was limited.",no
Aegean Airlines,8/10, Athens to Tel Aviv with Aegean Airlines. Very nice and welcoming air crew helped all passengers to quickly find space and seats. I was supersized they served light dinner – Warm Pasta and biscuits and a variety of drinks. Seat are 3x3 and packed but for 2 hour flight its OK.,yes
Aegean Airlines,9/10,"  
Athens to London. Very pleasant flight by Aegean Airlines. One of the best airlines in Europe. It was a fully flight from Athens to LHR. Boarding was done efficiently. The crew are this airlines best asset and they are excellent. Friendly and approachable. A hot meal and 2 drink runs. Any request and the crew were obliging. What other airline in Europe would serve a hot meal in economy now days. Excellent European airline.",yes
Aegean Airlines,4/10,"  Mykonos to Athens via Santorini. Prices for flights were reasonable. Carry on regulations are not enforced and you have some passengers showing up thinking the rules somehow don’t apply to them, with shopping bags, purses, oversized luggage etc. The experience with crowding, pushing and a race for the overhead luggage compartments. Boarding is a cattle call with no zones or row sequence. All this being said we took 5 flights in 14 days with this airline and I have to give them marks for being on time. Planes sparsely equipped but for 30-60 minute flights it really didn’t matter, nor did the awful snacks of Oreo like cookies, bad coffee and hard candy I think most passengers could have done without. Flight attendants were very presentable but definitely not overworked. Loading, deplaning, unnecessary crowded short bus rides and transfers at Athens airport will try your patience sometimes sending you through security twice for no reason. Pay the reasonable flight costs, close your eyes and just hope it ends as quickly as it can.",no
Aegean Airlines,4/10,"  Athens to Vienna. Outbound the plane was so narrow seated that even myself of medium height could hardly move, food - the good old pasta as always, and though it was a midday flight at 14.40 we were taken to the plane on the bus. The flight was smooth, inflight staff the best asset of this airline, otherwise as good as any other airline though the use of passenger bridges is not within the programme of Aegean. Front rows 1- 12 you have to pay for them plus 25 euros for your check in luggage, 30 to London. No in flight entertainment.",yes
Aegean Airlines,10/10,"  Cairo to Prague via Athens, friendly staff (cabin crew, check in employees), great service, hot food served , clean aircraft. Not the first time with Aegean Airlines and they are always improving, keep up the great work. You deserve to be the best airline in Europe.",yes
Aegean Airlines,10/10,"  Aegean Airlines has a consistently good service that ranges from customer service on the phone center to very friendly and welcoming cabin crew. The flight left on time, the airplane was spotlessly clean and pilot provided information several times. Food during flight was delicious. The only negative thing I can mention is the crowded lounge (which otherwise has a great choice of food and beverages) in the mornings when several Aegean airplanes are departing at the same time. In general, flying Aegean is always a pleasant experience for me with a good value for money.",yes
Aegean Airlines,10/10,"  Athens to Sofia. Excellent value for the money I paid (93 Canadian dollars). Seats were comfortable, airplane was clean, great staff service. This is the 3d time I take them. I flew with Aegean 3 years ago and once again they deliver and are worthy of their 4 star rating. I was not expecting food to be offered on this flight; make sure you make your meal request well in advance, otherwise there may not be anything vegetarian. (This was my fault). All I can say is that the food looked like it was good quality and they offer a reasonable selection of beverages.",yes
Aegean Airlines,8/10,"  Booked the flight from Palermo to Athens with Aegean. The flight was operated by Olympic Air, which I didn't mind. Boarding was efficient and we departed in time. The plane was a bit dated compared to the rest Aegean fleet. Onboard service was really good, with full service. Especially the two FAs, Eirini and Myrto, were really attentive, kind and reassuring. Always Aegean is my top choice for travel.",yes
Aegean Airlines,1/10,"  Athens to Munich. The ground staff in Athens is unpolite and rude, if the onboard bag is 1-2kg too heavy charging them 50€. Calling each passenger to their desk who didn't book any extra baggage. I'll never fly with this airline again. The food on board is really bad for me. ",no
Aegean Airlines,9/10,"  Hamburg to Rhodes via Athens. Check-in was friendly and professional, also the boarding. The route HAM-ATH took place in Business Class, the onward flight to RHO in Economy. The service of business class was impeccable. There was a 3-course menu, the main course could be chosen from 2 courts. There were several wines to choose from, as well as soft drinks, beer, spirits, coffee, espresso, etc. Typically on European flights was the 3 seats, with the middle seat was free. The seats were comfortable, although a little tighter as the table is in the armrest. After the delayed landing in Athens, the business guests were taken to the terminal in a separate bus, so it was not a problem to get the connecting flight. The onward flight in economy class was fine. It was a snack and drink, the staff was friendly. 
 DE: Check-in war freundlich und professionell, ebenfalls das Boarding. Die Strecke HAM-ATH erfolgte in der Business Class, der Weiterflug nach RHO in Economy. Der Service der Business Class war einwandfrei. Es gab ein 3 Gänge Menü, die Hauptspeise konnte aus 2 Gerichten gewählt werden. Dazu gab es mehrere Weine zur Auswahl, sowie Softdrinks, Bier, Spirituosen, Kaffee, Espresso, etc. Typisch auf Europaflügen war der 3er Bestuhlung, wobei der mittlere Sitz frei blieb. Die Sitze waren bequem, obwohl etwas enger, da der Tisch in der Armlehne untergebracht ist. Nach der verspäteten Landung in Athen wurden die Business Gäste in einem eigenen Bus zum Terminal gebracht, daher war es kein Problem den Anschlussflug zu bekommen. Der Weiterflug in der Economy Class war in Ordnung. Es wurde ein Snack und Getränk gereicht, das Personal war freundlich.",yes
Aegean Airlines,1/10,"  I took this airline from Rome to Athens on July 30th and my checked in baggage was damaged. One of the wheels was missing and my suitcase was cracked. I went to the desk where they were handling this situation. I reported it and emailed them the day of the incident. I didn’t receive an email back until the end of August. One of their associates informed me that they can compensate for the damage and give me €80. I gave them my banking information, they said over and over again that she still needed an “Intermediary SWIFT code” as it is necessary for non-EU people. I went to my bank Chase, and they had never heard of that, so I called the wire transfer department at Chase and they informed me that the recipient should have the Intermediary SWIFT code. I already gave them the information they needed so now it’s their turn to transfer the amount. I still haven’t received my compensation from the airline. ",no
Aegean Airlines,5/10,"  Athens to Munich. Lounge in ATH was a disappointment. We expected a full breakfast for this early flight. Unfortunately only continental breakfast was provided. On board, everything fine. Clean aircraft, nice staff and reasonable food. A standard now on European routes, when flying Star alliance. Note for the excellent airshow.",yes
Aegean Airlines,10/10,"  ATH - LHR, 8 September 2019. Check in was a breeze at the very comfortable Athens International Airport. Polite and friendly Aegean staff on hand to assist with Self Check in counters. A smile and a sense of humour made the process easy and informative. No excess charges necessary for luggage. I really don't understand people who post reviews on here and bemoan the fact that they have to pay extra if their bags exceed the permitted baggage allowance. You will have to pay more regardless of airline so use your common sense and educate yourself about your permitted allowance. Boarding was undertaken in an orderly manner. Greeted at the aircraft door with a very warm welcome by immaculate looking cabin crew. Flawless hair and make up. Elegant and functional uniform. Departed with a 20 minute delay. Drink service commenced shortly after followed by a very tasty, hot and well presented vegetarian meal. One of the best I have experienced. Great service from the crew. Aegean is one of the few airlines in Europe that offers a full service on board and is to be congratulated. Landed 5 minutes ahead of schedule. Great flight, excellent crew. Shall definately be flying Aegean Airlines again. Good job.",yes
Aegean Airlines,1/10," London to Santorini via Athens. Aegean charges an exorbitant price for minimal weight excess. Be sure you will be charged £55 for an extra kilo. It is certainly the most unfair airline I've ever been. There were no prior email warning/reminders, which other airlines have the decency to do so. Ryanair hanks way higher on fairness and customer service. I can securely say that I'll never fly with Aegan again.",no
Aegean Airlines,1/10,"  Heraklion to Athens. First attendants skipped my son when serving water. When he asked attendant for water, she replied just a second and just went on serving other passengers. When I asked another flight attendant if we could get some water. She politely replied that was no problem and disappeared.",no
Aegean Airlines,10/10,"  Flew with Aegean from Athens to Catania. The flight with Aegean was once again exceptional. Modern aircraft, very friendly and helpful crew, entertainment system (Aegean Stream). The FAs managed very good work despite the full cabin. The food was nice (sandwiches), yet I would like to have a hot meal on shorter intl routes, as most flights with Aegean. The only thing I can complain about is the boarding procedure. During both boarding in ATH and disembarkation in CTA we used buses, despite the fact that there were available jetbridges in Catania airport. Overall a very good flight, with value for money (108 EUROS during high season).",yes
Aegean Airlines,4/10, Athens to Zurich. Once again flying with Aegean was a disappointment in terms of comfort. The “free” seats do not have adequate room for an adult measuring more than 180cm. When seated one has to sit upright and yet the knees are hitting on the seat in front and the passenger can effectively not move. This was implemented by Aegean two years ago in order to save one extra row of seats on the plane as well as to increase its revenues from disappointed passengers who could not tolerate this discomfort and would pay for a set upgrade. Shame for a company that does not see itself (and not charges) as a low cost airline yet treats its economy passengers as such.,no
Aegean Airlines,7/10,"  The flight was operated by Olympic Air, Q400. Plane was ok; both flights were 30 minutes late even though we were boarded plane on time. Service for the 1 hr 55 min flight was basic, sandwich and fruits, water, beer, wine. Very friendly cabin crew, especially on the flight ATH-SJJ were great because they offered to give me theirs lunch which was a fruit salad, because I had option of and they had only tuna sandwich, or ham & cheese sandwich.",yes
Aegean Airlines,9/10,"  Zakynthos to Athens, flight on Olympic Airline codes, operated by Aegean Airlines, on a very early morning. Flight was on time, embarkation and disembarkation was by bus, however easy and quick. Used e-check in, very simple and the boarding pass is sent by sms to the snartphone with a link. The app was not needed. Got seat 1A. Flight 70% full and arrival was 15' ahead of schedule. We were offered water/juice and a biscuit. Booked this ticket by redeeming points through the Aegean Miles & Bonus scheme, so it was very cheap.",yes
Aegean Airlines,10/10,"  Sofia to Beirut via Athens. Once again an amazing experience with this airline. Flights on time, hot meal (on 1h 20’ flight), comfortable seats, clean cabin, friendly and professional crew. This is why Aegean has been my first choice in recent years. I hope they keep up the good service they are offering and do not downgrade. Frankly, I can’t say anything bad. Love Aegean.",yes
Aegean Airlines,2/10,"  Misleading information on Aegean website. Purchasing on-line a Economy GoLight ticket Santorini to Athens on Aegean website and being a Star Alliance Gold member, I estimated that I was entitled to 23 kg free checked baggage. I knew that some flights might be operated by Olympic Air. I based by understanding on the following assessments on Aegean website, when purchasing the ticket: A-""The number of bags, the charges and allowable dimensions may vary depending on your flight, the fare (GoLight, Flex & Business) and the Class (Economy or Business) in which you are travelling. That is why we advise you to check the specific baggage information either on the AEGEAN website or your booking before every flight. "" B-""Miles+Bonus Gold* & Star Alliance Gold :3 pieces 32 kg in Business or 2 pieces 23kg in Economy Flex or 1 piece 23kg in Economy GoLight 158 cm (62 inches)"" C-""Important notes regarding baggage: This baggage policy applies only on flights operated by AEGEAN and Olympic Air aircraft."" However, when checking-in at airport, staff acknowledged by Star Alliance Gold status with priority tagging my sole luggage, BUT charged me US$35,00 (more than 50% of the cost to the ticket, and more than if I had purchased this extra luggage previously to the flight) for that same sole baggage, based on the fact that ""flight number is a Olympic number and not an Aegean"". I insisted, but no way.  I paid and complained later to Aegean Customer Service, that in a first moment repeated the same reason, as if any pax were able to identify airlines flights codes, and as if what is on websites have no value. After a second complain I received a tiny compensation in Status miles credit.",no
Aegean Airlines,5/10,"  London to Athens. A good experience on Aegean Airlines. It's one of the better airlines in Europe. They serve a hot meal and plenty of drink runs in economy.  The crew were professional. The boarding was orderly and quick, slightly delayed but it was made up in flight speed. The seat pitch is tight as both flight's were full it was cramped. More than 3 hours and it would be hell. Crew didn't clean the toilets. It was unclean.",yes
Aegean Airlines,3/10,"  Athens to Larnaca. My flight was delayed but this happens on many airlines, however this airline avoids the use of airbridges, and on my flights they prefer to use a bus. Even under heavy rain or snow or freezing temps. This was the case again, get on the bus and then on the plane parked far away at Athens temps of 39C, boiling hot. For the return flight, delayed for more than half an hour (no traffic excuse), the captain was American and the announcement made was only in English, hence passengers were wondering what was he talking about, no Greek translation was given.",no
Aegean Airlines,2/10,"  Athens to Rome. 4 flights, all of them late. Flight from Athens to Mykonos took off 2 hours and 40 minutes after the scheduled time. They apologised with an 8€ meal voucher that arrived by email when we were already boarded, and another one way voucher ""valid for travelling within one year with the exception of the period from 20th December to 10th January, Easter as well as the week that follows, and during July and August"". Almost useless. On the way back flight to Rome was 45 minutes late. ",no
Aegean Airlines,5/10,  Rome  to Larnaca to via Athens. The main problem was dropping off our luggage at Rome airport. Only two service points available and had to wait for 45 minutes in the queue. ,no
Aegean Airlines,1/10,"  Berlin to Athens. Aegean are in most respects an excellent airline. But you should be warned never to buy goods from their in flight shop. I bought a pair of Bluetooth headphones. They were extremely uncomfortable not being large enough for an average adult male head. It was clear from the moment I put them on that they were not ""fit for purpose"" and only really suitable for a child. Aegean refused to take them back even though from my point of view the goods were faulty as no adult male could wear them comfortably. So experience the excellent service Aegean provide but avoid the temptation to buy goods in the air. If they are totally unsuitable you won't get a refund.",yes
